sampleMetadata	gene	mouse_nb	sex	initial_name	class	polarity	injectionOrder	batch	sampleType	KO	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
W616f	WT	616	F	X20180910_616P_neg_041	Bio	0	41	b1	sample	CTL	-4.77913045959952	-27.9236866323695	0.502074589976716	1	0.268511239026424	W616f
W617f	WT	617	F	X20180910_617P_neg_025	Bio	0	25	b1	sample	CTL	-2.98974017783769	-34.5396205207003	0.358117987024597	1	0.603302252514453	W617f
W620f	WT	620	F	X20180910_620P_neg_064	Bio	0	64	b1	sample	CTL	-0.546875962136391	-43.4737388981169	0.202381742650154	1	0.124243451890214	W620f
W621f	WT	621	F	X20180910_621P_neg_053	Bio	0	53	b1	sample	CTL	-27.0539615461444	-10.3225120029955	0.515396243747343	1	0.251462682363896	W621f
W622f	WT	622	F	X20180910_622P_neg_072	Bio	0	72	b1	sample	CTL	-12.2397011537033	-29.2380017656669	0.427442863954396	1	0.471545681488677	W622f
W623f	WT	623	F	X20180910_623P_neg_058	Bio	0	58	b1	sample	CTL	-31.5625891695011	-10.2762354633053	0.421187745918518	1	0.0861423548322968	W623f
W625m	WT	625	M	X20180910_625P_neg_047	Bio	0	47	b1	sample	CTL	-7.18405848991473	3.80536177375329	0.94801293108117	1	0.316713210814664	W625m
W627m	WT	627	M	X20180910_627P_neg_069	Bio	0	69	b1	sample	CTL	-11.5735701151243	10.866092811667	0.812136601121794	1	0.522060034606729	W627m
W628m	WT	628	M	X20180910_628P_neg_026	Bio	0	26	b1	sample	CTL	-27.9794885918103	24.3158826573912	0.329563536951793	1	0.127096989475755	W628m
W629m	WT	629	M	X20180910_629P_neg_061	Bio	0	61	b1	sample	CTL	-11.9409275119933	22.7545332883963	0.572153230585948	1	0.186809985864572	W629m
W630m	WT	630	M	X20180910_630P_neg_039	Bio	0	39	b1	sample	CTL	-35.0706220381561	23.5878068034896	0.242411990183941	1	0.0588651509113625	W630m
W631m	WT	631	M	X20180910_631P_neg_032	Bio	0	32	b1	sample	CTL	-27.4125857981429	24.0823185404082	0.340691783242265	1	0.0472472965650099	W631m
W632f	WT	632	F	X20180910_632P_neg_049	Bio	0	49	b1	sample	CTL	-1.67879020783244	-21.4975857076348	0.66876463053882	1	0.771955064179526	W632f
W633f	WT	633	F	X20180910_633P_neg_034	Bio	0	34	b1	sample	CTL	-47.4567912301424	-26.496608304706	0.101707461352589	1	0.0200386804370014	W633f
W634m	WT	634	M	X20180910_634P_neg_056	Bio	0	56	b1	sample	CTL	-2.30824778835536	21.6687168279083	0.663239806198702	1	0.397452724034371	W634m
L818f	LAT	818	F	X20180910_818P_neg_045	Bio	0	45	b1	sample	Lat	51.7014983678068	-15.4146599839689	0.108682797530891	1	0.0313314428524556	L818f
L819f	LAT	819	F	X20180910_819P_neg_033	Bio	0	33	b1	sample	Lat	5.99632194275976	-11.8036279495148	0.86106968947306	1	0.465916987991456	L819f
L824m	LAT	824	M	X20180910_824P_neg_043	Bio	0	43	b1	sample	Lat	13.0941699546379	29.7328493089278	0.410220103474736	1	0.506918260039738	L824m
L825m	LAT	825	M	X20180910_825P_neg_052	Bio	0	52	b1	sample	Lat	5.74709963184251	18.6782216603208	0.720047896925416	1	0.470966646865363	L825m
L826m	LAT	826	M	X20180910_826P_neg_068	Bio	0	68	b1	sample	Lat	16.1870284939609	23.2778473559889	0.511197705883357	1	0.416139860987496	L826m
L827m	LAT	827	M	X20180910_827P_neg_031	Bio	0	31	b1	sample	Lat	37.3785779720317	12.6684321052935	0.29678976596049	1	0.0648736245041341	L827m
L836f	LAT	836	F	X20180910_836P_neg_055	Bio	0	55	b1	sample	Lat	-13.5678391202993	-6.95691264655546	0.829372279169887	1	0.42051372601241	L836f
L841f	LAT	841	F	X20180910_841P_neg_070	Bio	0	70	b1	sample	Lat	44.586347915679	-12.5101323563956	0.19156863865162	1	0.0149500500725022	L841f
L848m	LAT	848	M	X20180910_848P_neg_035	Bio	0	35	b1	sample	Lat	17.0556717901114	36.4176349277317	0.259143842933113	1	0.714988030529095	L848m
L849m	LAT	849	M	X20180910_849P_neg_038	Bio	0	38	b1	sample	Lat	24.2830492901616	20.450377619854	0.441442793940547	1	0.17529028613062	L849m
L854f	LAT	854	F	X20180910_854P_neg_028	Bio	0	28	b1	sample	Lat	23.7658293677277	-31.8880464024626	0.272621600236028	1	0.17901389279358	L854f
L859m	LAT	859	M	X20180910_859P_neg_062	Bio	0	62	b1	sample	Lat	-1.38054424511374	13.6446155203883	0.849199925848957	1	0.534621310391785	L859m
L862f	LAT	862	F	X20180910_862P_neg_063	Bio	0	63	b1	sample	Lat	-4.8647064673184	13.651213589708	0.834683441324128	1	0.485930216227795	L862f
